,Nb,Ta,W,YS 25C PRIOR,HV 25C PRIOR,HV 25C PRIOR*,YS T C PRIOR,HV T C PRIOR,YS T-273C PRIOR,HV T-273C PRIOR,YS 25-273C PRIOR,HV 25-273C PRIOR
75,0.7,0.05,0.25,363.5836427,261.2216711,283.9773369,50.03032892,165.304475,75.00847472,172.9453884,599.9830363,333.5371784
76,0.7,0.1,0.2,288.1462646,238.1450794,265.5160635,31.80448742,159.7291182,49.8788693,165.2581429,502.7240852,303.7852815
77,0.7,0.15,0.15,211.925404,214.8288174,246.8630539,17.19098812,155.2587911,28.71045087,158.7826402,399.6496909,272.2544175
78,0.7,0.2,0.1,136.4491342,191.7403286,228.3922629,6.886265564,152.1065358,12.67085624,153.8760649,290.0800895,238.7366441
79,0.7,0.25,0.05,63.48566957,169.4205168,210.5364135,1.280795377,150.3918004,2.841903249,150.8693494,170.1329288,202.0443343
80,0.75,0.05,0.2,278.2963796,235.1319607,263.1055686,29.18178004,158.9268217,46.24740484,164.1472636,491.8681747,300.4644156
81,0.75,0.1,0.15,203.4976511,212.2507345,244.8005876,15.48255329,154.7361741,26.19781705,158.0140156,390.0186289,269.3082377
82,0.75,0.15,0.1,129.938943,189.7488354,226.7990683,6.02792965,151.8439675,11.28392567,153.4517974,282.1795874,236.3198493
83,0.75,0.2,0.05,59.60761407,168.2342044,209.5873635,1.063441537,150.325311,2.419607426,150.7401675,164.7776552,200.406135
84,0.8,0.05,0.15,194.6214169,209.5354594,242.6283676,13.78800345,154.2178047,23.67270775,157.2415747,379.7856071,266.1779159
85,0.8,0.1,0.1,123.0731149,187.6485515,225.1188412,5.193327449,151.5886594,9.911493793,153.0319651,273.7415634,233.7386245
86,0.8,0.15,0.05,55.52602776,166.985631,208.5885048,0.861125225,150.2634216,2.016139205,150.6167449,159.0224909,198.6456075
87,0.85,0.05,0.1,115.8088776,185.4263926,223.3411141,4.38808253,151.3423318,8.560786084,152.6187782,264.6828238,230.9675203
88,0.85,0.1,0.05,51.21858305,165.6679667,207.5343733,0.675749265,150.2067144,1.635218493,150.5002198,152.7992037,196.7418794
89,0.9,0.05,0.05,46.65928661,164.2732599,206.4186079,0.509350082,150.1558122,1.281169763,150.3919149,146.0195256,194.6679491
90,0.05,0,0.95,340.8265872,254.260198,278.4081584,69.48009741,171.254236,96.13551239,179.4082326,509.2830838,305.7917051
91,0.1,0,0.9,536.2774122,314.0493766,326.2395013,138.7930637,192.4573459,182.9057653,205.9515954,754.4643226,380.7936135
92,0.15,0,0.85,666.7076018,353.9484863,358.1587891,189.7673776,208.0505897,245.2713579,225.0294763,915.6985409,430.1157971
93,0.2,0,0.8,752.2654802,380.120979,379.0967832,223.4722286,218.3610366,286.3241159,237.5876769,1022.11423,462.6687763
94,0.25,0,0.75,803.3191072,395.7384849,391.5907879,242.1527333,224.0754767,309.3338299,244.6264392,1087.459344,482.6581047
95,0.3,0,0.7,826.5258992,402.8375342,397.2700273,248.0918856,225.8922868,317.1957486,247.0314312,1120.07574,492.6355889
